layer_key,program_id,layer_id,spacecraft_name,entity,maxrisk_gross,maxrisk_net,gross_exposure
344558_14,344558,14,E36C,FIID,9294173.286126139,1394125.9929189207,11617716.607657673
344558_15,344558,15,E65WA,FIID,4427000.284578179,664050.0426867269,5533750.3557227235
344558_16,344558,16,E172B,FIID,8596984.837140162,1289547.7255710242,10746231.046425201
344558_17,344558,17,Quantum,FIID,8951280.450426996,1342692.0675640497,11189100.563033745
344558_18,344558,18,E7C,FIID,2475850.87871554,371377.631807331,3094813.5983944247
344558_19,344558,19,Konnect,FIID,6882019.522712153,1032302.9284068234,8602524.403390191
344558_2,344558,2,W7/E36B,FIID,2854044.4585896838,428106.66878845263,3567555.573237105
344558_20,344558,20,E13G,FIID,15851825.938983029,2377773.890847454,19814782.423728786
344558_21,344558,21,K-VHTS,FIID,13550140.396486005,2032521.0594729017,16937675.495607506
344558_22,344558,22,E10B,FIID,15851825.938983029,2377773.890847454,19814782.423728786
344558_23,344558,23,E13F,FIID,15851825.938983029,2377773.890847454,19814782.423728786
344558_3,344558,3,E115WB (S7),FIID,3164523.013181562,474678.45197723433,3955653.7664769525
344558_4,344558,4,W3C/E16A,FIID,9343712.250141654,1401556.8375212485,11679640.312677067
344558_5,344558,5,AB7/E7WA,FIID,9538340.928237148,1430751.139235572,11922926.160296435
344558_6,344558,6,E117WA (S8),FIID,5112767.228923703,766915.0843385551,6390959.036154628
344558_7,344558,7,W6A/E21B,FIID,6778108.017512836,1016716.2026269259,8472635.021891044
344558_8,344558,8,W5A/E70B,FIID,6483780.505547612,972567.0758321416,8104725.631934515
344558_9,344558,9,W3D/E3D,FIID,3311034.318645492,496655.1477968241,4138792.8983068652
344664_1,344664,1,Arabsat BADR 8,FUL,20194199.555225477,10097099.777612738,25242749.444031846
344664_2,344664,2,Arabsat 5A,FUL,82019.13065505402,41009.56532752701,102523.91331881752
344664_3,344664,3,Arabsat 5B,FUL,4116965.9989300594,2058482.9994650297,5146207.498662574
344664_4,344664,4,Arabsat 5C,FUL,655312.0045008854,327656.0022504427,819140.0056261068
344664_5,344664,5,Arabsat BADR 7,FUL,7613733.866466072,3806866.933233036,9517167.33308259
344664_6,344664,6,Arabsat 6A,FUL,11622471.912367605,5811235.956183802,14528089.890459506
349114_488489,349114,488489,ES'HAIL 2,FUL,3958764.8593814396,1979382.4296907198,4948456.074226799
349114_488490,349114,488490,ES'HAIL 1,FUL,5344327.90861856,2672163.95430928,6680409.8857732
349114_489316,349114,489316,ES'HAIL 2,FUL,3958764.8593814396,1979382.4296907198,4948456.074226799
349114_489317,349114,489317,ES'HAIL 1,FUL,5344327.90861856,2672163.95430928,6680409.8857732
